,title,link,class_name,type,credits,seat_capacity,filled_seats
0,Freshman Leap Seminar - 87695 - CS 1100 - A1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=87695,CS 1100,Lecture,1.000,200,171
1,Freshman Leap Seminar - 87696 - CS 1100 - A2,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=87696,CS 1100,Lecture,1.000,240,240
2,Freshman Leap Seminar - 89255 - CS 1100 - A3,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=89255,CS 1100,Lecture,1.000,125,125
3,Freshman Leap Seminar - 94424 - CS 1100 - A4,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94424,CS 1100,Lecture,1.000,280,260
4,Freshman Leap Seminar - 92598 - CS 1100 - B1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=92598,CS 1100,Lecture,1.000,240,239
5,Freshman Leap Seminar - 91981 - CS 1100 - B2,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=91981,CS 1100,Lecture,1.000,78,77
6,Intro to Computing - 82674 - CS 1301 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=82674,CS 1301,Lecture,3.000,85,69
7,Intro to Computing - 84724 - CS 1301 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=84724,CS 1301,Lecture,3.000,237,237
8,Intro to Computing - 90552 - CS 1301 - C,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90552,CS 1301,Lecture,3.000,181,181
9,Intro to Computing - 89348 - CS 1301 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=89348,CS 1301,Lecture,3.000,6,3
10,Intro to Computing - 87674 - CS 1301 - HP,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=87674,CS 1301,Lecture,3.000,50,42
11,Intro to Computing - 92361 - CS 1301 - O1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=92361,CS 1301,Lecture,3.000,20,316
12,CS 1301 Recitation - 93516 - CS 1301R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93516,CS 1301,Recitation,0.000,25,25
13,CS 1301 Recitation - 93517 - CS 1301R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93517,CS 1301,Recitation,0.000,25,25
14,CS 1301 Recitation - 93518 - CS 1301R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93518,CS 1301,Recitation,0.000,25,15
15,CS 1301 Recitation - 93519 - CS 1301R - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93519,CS 1301,Recitation,0.000,25,10
16,CS 1301 Recitation - 93521 - CS 1301R - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93521,CS 1301,Recitation,0.000,50,50
17,CS 1301 Recitation - 93522 - CS 1301R - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93522,CS 1301,Recitation,0.000,50,50
18,CS 1301 Recitation - 93524 - CS 1301R - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93524,CS 1301,Recitation,0.000,50,7
19,CS 1301 Recitation - 93525 - CS 1301R - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93525,CS 1301,Recitation,0.000,50,37
