,course_name,professor,count
0,CMSC100,Jessica Long,33
1,CMSC100,Corie Brown,17
2,CMSC100,Veronica Sanchez,19
3,CMSC106,Jandelyn Plane,51
4,CMSC122,Pedram Sadeghian,83
5,CMSC122,Jennifer Manly,61
6,CMSC125,Elias Gonzalez,23
7,CMSC131,Fawzi Emad,25
8,CMSC131,Fawzi Emad,26
9,CMSC131,Fawzi Emad,26
10,CMSC131,Fawzi Emad,33
11,CMSC131,Fawzi Emad,30
12,CMSC131,Fawzi Emad,32
13,CMSC131,Fawzi Emad,31
14,CMSC131,Fawzi Emad,32
15,CMSC131,Fawzi Emad,14
16,CMSC131,Fawzi Emad,27
17,CMSC131,Fawzi Emad,29
18,CMSC131,Fawzi Emad,28
19,CMSC131,Fawzi Emad,27
20,CMSC131,Fawzi Emad,28
21,CMSC131,Fawzi Emad,26
22,CMSC131,Fawzi Emad,27
23,CMSC131,Nelson Padua-Perez,33
24,CMSC131,Nelson Padua-Perez,33
25,CMSC131,Nelson Padua-Perez,31
26,CMSC131,Nelson Padua-Perez,32
27,CMSC131,Nelson Padua-Perez,32
28,CMSC131,Nelson Padua-Perez,33
29,CMSC131,Nelson Padua-Perez,13
30,CMSC131,Nelson Padua-Perez,25
31,CMSC131,Nelson Padua-Perez,25
32,CMSC131,Nelson Padua-Perez,34
33,CMSC131,Nelson Padua-Perez,25
34,CMSC131,Nelson Padua-Perez,16
35,CMSC131,Nelson Padua-Perez,29
36,CMSC131,Nelson Padua-Perez,25
37,CMSC131,Nelson Padua-Perez,15
38,CMSC131,Nelson Padua-Perez,23
39,CMSC131,Nelson Padua-Perez,21
40,CMSC131,Nelson Padua-Perez,153
41,CMSC132,Larry Herman,36
42,CMSC132,Larry Herman,23
43,CMSC132,Larry Herman,26
44,CMSC132,Larry Herman,35
45,CMSC132,Larry Herman,35
46,CMSC132,Larry Herman,33
47,CMSC132,Larry Herman,15
48,CMSC132,Larry Herman,24
49,CMSC132,Larry Herman,35
50,CMSC132,Larry Herman,11
51,CMSC132,Larry Herman,34
52,CMSC132,Larry Herman,8
53,CMSC132,Larry Herman,28
54,CMSC132,Pedram Sadeghian,22
55,CMSC132,Pedram Sadeghian,23
56,CMSC132,Pedram Sadeghian,26
57,CMSC132,Pedram Sadeghian,25
58,CMSC133,Nelson Padua-Perez,16
59,CMSC216,Jose Calderon,38
60,CMSC216,Jose Calderon,38
61,CMSC216,Jose Calderon,40
62,CMSC216,Jose Calderon,38
63,CMSC216,Jose Calderon,38
64,CMSC216,Jose Calderon,38
65,CMSC216,Jose Calderon,36
66,CMSC216,Jose Calderon,36
67,CMSC216,Jose Calderon,36
68,CMSC216,Jose Calderon,36
69,CMSC216,Jose Calderon,36
70,CMSC216,Jose Calderon,36
71,CMSC216,Jose Calderon,36
72,CMSC216,Jose Calderon,37
73,CMSC216,Jose Calderon,38
74,CMSC216,Jose Calderon,38
75,CMSC250,Justin Wyss-Gallifent,36
76,CMSC250,Justin Wyss-Gallifent,36
77,CMSC250,Justin Wyss-Gallifent,36
78,CMSC250,Justin Wyss-Gallifent,36
79,CMSC250,Justin Wyss-Gallifent,38
80,CMSC250,Justin Wyss-Gallifent,38
81,CMSC250,Justin Wyss-Gallifent,37
82,CMSC250,Justin Wyss-Gallifent,37
83,CMSC250,Cliff Bakalian,38
84,CMSC250,Cliff Bakalian,38
85,CMSC250,Cliff Bakalian,37
86,CMSC250,Cliff Bakalian,39
87,CMSC250,Cliff Bakalian,9
