course_code,course_time,course_instructors,course_enrollment,course_capacity
EECS 183,TuTh11:30AM-1:00PM,"['Kloosterman, John Sidney', 'Tabassum, Nuzhat']",189,192
EECS 183,TuTh1:00PM-2:30PM,"['Arthur, William', 'Tabassum, Nuzhat']",250,250
EECS 183,TuTh2:30PM-4:00PM,"['Kloosterman, John Sidney', 'Tabassum, Nuzhat']",224,225
EECS 183,TuTh4:00PM-5:30PM,"['Arthur, William', 'Tabassum, Nuzhat']",257,260
EECS 183,TuTh8:30AM-10:00AM,"['Tabassum, Nuzhat', 'Torralva, Ben']",220,245
EECS 198,Fr9:30AM-11:30AM,"['Ignat, Oana']",9,50
EECS 200,Tu3:00PM-4:30PM,"['Ali, Maha A', 'Pierce, Leland E']",70,80
EECS 201,Fr10:30AM-12:00PM,"['Bhattu, Sowgandhi', 'Nguyen, Brandon Trinh', ""O'Neill, John Paul""]",222,234
EECS 203,TBATBA,"['Diaz, Kimberly Khalsa', 'Graetz, Emily', 'Wakefield, Gregory H']",0,0
EECS 203,TuTh10:30AM-12:00PM,"['Chiang, Diane', 'Diaz, Kimberly Khalsa']",154,155
EECS 203,TuTh3:00PM-4:30PM,"['Chiang, Diane', 'Graetz, Emily']",144,145
EECS 203,TuTh4:00PM-5:30PM,"['Chiang, Diane', 'Wakefield, Gregory H']",147,165
EECS 203,TuTh4:30PM-6:00PM,"['Chiang, Diane', 'Graetz, Emily']",163,165
EECS 203,TuTh8:30AM-10:00AM,"['Chiang, Diane', 'Zhu, Leqi']",146,145
EECS 203,TuTh9:00AM-10:30AM,"['Chiang, Diane', 'Diaz, Kimberly Khalsa']",175,185
EECS 215,MoWe12:00PM-1:30PM,"['Terry Jr, Fred Lewis']",129,115
EECS 215,MoWe9:00AM-10:30AM,"['Terry Jr, Fred Lewis']",110,110
EECS 216,TuTh10:30AM-12:00PM,"['Lafortune, Stephane']",87,90
EECS 216,TuTh1:30PM-3:00PM,"['Lafortune, Stephane']",50,55
EECS 230,TuTh12:00PM-1:30PM,"['Lee, Somin Eunice']",73,75
EECS 270,MoWe10:30AM-12:00PM,"['Bolton, Connor', 'Sakallah, Karem A']",151,162
EECS 280,MoWe12:00PM-1:30PM,"['Juett, James']",139,139
EECS 280,MoWe1:30PM-3:00PM,"['Beaumont, Jonathan']",208,210
EECS 280,MoWe4:00PM-5:30PM,"['Beaumont, Jonathan']",186,190
EECS 280,MoWe4:30PM-6:00PM,"['Saleem, Sofia']",150,156
EECS 280,MoWe9:00AM-10:30AM,"['Juett, James']",238,239
EECS 280,TuTh6:00PM-7:30PM,"['Molaei, Somayeh']",152,154
EECS 281,TuTh10:30AM-12:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Darden, Marcus M', 'Li, Annie']",231,234
EECS 281,TuTh12:00PM-1:30PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Li, Annie', 'Paoletti, David R']",145,145
EECS 281,TuTh1:30PM-3:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Li, Annie', 'Paoletti, David R']",146,145
EECS 281,TuTh3:00PM-4:30PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Derezinski, Michal', 'Li, Annie']",157,156
EECS 281,TuTh4:30PM-6:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Garcia-Ramirez, Hector', 'Li, Annie']",136,154
EECS 281,TuTh9:00AM-10:30AM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Darden, Marcus M', 'Li, Annie']",156,156
EECS 285,We1:00AM-3:00AM,"['Ganesh, Rithika', 'Smith, Kristopher Jorge', 'Wang, William Jialian']",1,0
EECS 285,We1:30PM-3:30PM,"['Ganesh, Rithika', 'Smith, Kristopher Jorge', 'Wang, William Jialian']",137,154
EECS 300,Th3:00PM-5:00PM,"['Ali, Maha A', 'Gilchrist, Brian E']",44,48
EECS 301,MoWe9:00AM-10:30AM,"['Meerkov, Semyon M']",74,76
EECS 311,TuTh9:00AM-10:30AM,"['Flynn, Michael']",20,36
EECS 312,MoWe1:30PM-3:00PM,"['Garmire, David']",37,45
EECS 314,MoWe3:00PM-4:30PM,"['Ganago, Alexander O']",155,162
EECS 320,MoWe10:30AM-12:00PM,"['Mi, Zetian']",49,65
EECS 330,TuTh12:00PM-1:30PM,"['Tsang, Leung']",13,30
EECS 334,WeFr10:00AM-11:30AM,"['Deotare, Parag B']",19,26
EECS 351,MoWe12:00PM-1:30PM,"['Na, Sangsin']",44,60
EECS 370,TuTh12:00PM-1:30PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']",150,150
EECS 370,TuTh1:30PM-3:00PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']",154,158
EECS 370,TuTh3:00PM-4:30PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']",177,222
EECS 370,TuTh4:30PM-6:00PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']",147,156
EECS 370,TuTh9:00AM-10:30AM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']",151,154
EECS 373,MoWe1:30PM-3:00PM,"['Dreslinski Jr, Ronald']",58,60
EECS 376,MoWe10:30AM-12:00PM,"['Lee, Euiwoong']",124,125
EECS 376,MoWe12:00PM-1:30PM,"['Kamil, Amir']",252,270
EECS 376,MoWe1:30PM-3:00PM,"['Pettie, Seth']",136,145
EECS 376,MoWe4:30PM-6:00PM,"['Kamil, Amir']",121,140
EECS 388,TuTh12:00PM-1:30PM,"['Halderman, J Alex', 'Honeyman, Peter']",111,120
EECS 388,TuTh1:30PM-3:00PM,"['Halderman, J Alex', 'Honeyman, Peter']",114,120
EECS 402,TuTh4:30PM-6:00PM,"['Morgan, Andrew Michael']",65,80
EECS 411,TuTh3:00PM-4:30PM,"['Mortazawi, Amir']",33,40
EECS 413,MoWe11:30AM-1:00PM,"['Afshari, Ehsan']",63,65
EECS 414,TuTh1:30PM-3:00PM,"['Najafi, Khalil']",43,105
EECS 417,TuTh10:00AM-12:00PM,"['Lempka, Scott Francis']",49,50
EECS 421,MoWe9:00AM-10:30AM,"['Ahmadi, Elaheh']",26,35
EECS 423,TuTh10:30AM-12:00PM,"['Kanicki, Jerzy']",20,20
EECS 423,TuTh10:30AM-12:00PM,[],0,0
EECS 427,MoWe1:30PM-3:00PM,"['Zhang, Zhengya']",66,45
EECS 428,TuTh9:00AM-10:30AM,"['Jiang, Weiwei', 'Steel, Duncan G']",53,65
