CSRankgings Rank,USNews Rank,University
1,1,Carnegie Mellon University
2,5,University of Illinois at Urbana-Champaign
3,1,Massachusetts Institute of Technology
4,16,University of California - San Diego
5,1,Stanford University
6,11,University of Michigan
7,1,University of California - Berkeley
8,6,Cornell University
9,6,University of Washington
10,8,Georgia Institute of Technology
11,16,University of Maryland - College Park
12,13,University of Wisconsin - Madison
13,13,Columbia University
13,49,Northeastern University
15,10,University of Texas at Austin
16,19,University of Pennsylvania
17,20,Purdue University
18,13,University of California - Los Angeles
19,20,University of Southern California
20,20,University of Massachusetts Amherst
21,30,New York University
22,37,University of California - Santa Barbara
23,37,Rutgers University
24,30,University of California - Irvine
25,40,Stony Brook University
26,8,Princeton University
27,30,University of Chicago
27,30,Pennsylvannia State University
29,16,Harvard University
30,30,Northwestern University
