,course_name,count
0,CMSC100,69
1,CMSC101,0
2,CMSC102,0
3,CMSC106,51
4,CMSC122,144
5,CMSC125,23
6,CMSC131,1039
7,CMSC131A,0
8,CMSC131H,0
9,CMSC132,439
10,CMSC132A,0
11,CMSC132H,0
12,CMSC133,16
13,CMSC198A,0
14,CMSC198B,0
15,CMSC198C,0
16,CMSC198D,0
17,CMSC198E,0
18,CMSC198I,0
19,CMSC198Q,0
20,CMSC198R,0
21,CMSC216,709
22,CMSC216H,0
23,CMSC250,649
24,CMSC250H,0
25,CMSC287,0
26,CMSC289I,0
27,CMSC289J,0
28,CMSC297,0
29,CMSC298A,0
30,CMSC298P,0
31,CMSC320,372
32,CMSC330,506
33,CMSC335,0
34,CMSC351,480
35,CMSC351H,0
36,CMSC388A,0
37,CMSC388B,0
38,CMSC388C,0
39,CMSC388D,0
40,CMSC388E,0
41,CMSC388F,0
42,CMSC388G,0
43,CMSC388I,0
44,CMSC388J,59
45,CMSC388L,0
46,CMSC388M,0
47,CMSC388N,0
48,CMSC388O,0
49,CMSC388Q,0
50,CMSC388R,0
51,CMSC388T,0
52,CMSC388U,30
53,CMSC388V,0
54,CMSC388W,0
55,CMSC388Y,26
56,CMSC388Z,43
57,CMSC389A,0
58,CMSC389B,0
59,CMSC389C,0
60,CMSC389D,0
61,CMSC389E,29
62,CMSC389F,0
63,CMSC389G,14
64,CMSC389I,0
65,CMSC389J,0
66,CMSC389K,0
67,CMSC389L,0
68,CMSC389M,0
69,CMSC389N,96
70,CMSC389O,145
71,CMSC389P,0
72,CMSC389Q,0
73,CMSC389R,0
74,CMSC389T,36
75,CMSC389U,0
76,CMSC389V,0
77,CMSC389W,0
78,CMSC389Y,0
79,CMSC389Z,0
80,CMSC390,0
81,CMSC395,0
82,CMSC396H,45
83,CMSC402,0
84,CMSC411,196
85,CMSC412,76
86,CMSC414,240
87,CMSC416,83
88,CMSC417,76
89,CMSC420,355
90,CMSC421,243
91,CMSC422,276
92,CMSC423,94
93,CMSC424,215
94,CMSC425,80
95,CMSC426,115
96,CMSC427,54
97,CMSC430,90
98,CMSC433,211
99,CMSC434,110
100,CMSC435,41
101,CMSC436,151
102,CMSC451,154
103,CMSC452,0
104,CMSC454,0
105,CMSC456,0
106,CMSC457,0
107,CMSC460,0
108,CMSC466,0
109,CMSC470,49
110,CMSC471,0
111,CMSC472,0
112,CMSC473,21
113,CMSC474,14
114,CMSC475,0
115,CMSC488A,0
116,CMSC488B,0
117,CMSC498,0
118,CMSC498A,0
119,CMSC498B,0
120,CMSC498C,0
121,CMSC498D,0
122,CMSC498E,0
123,CMSC498F,0
124,CMSC498G,0
125,CMSC498I,0
126,CMSC498J,0
127,CMSC498K,0
128,CMSC498L,0
129,CMSC498M,0
130,CMSC498N,0
131,CMSC498O,0
132,CMSC498P,0
133,CMSC498Q,0
134,CMSC498R,0
135,CMSC498S,0
136,CMSC498T,0
137,CMSC498U,0
138,CMSC498V,0
139,CMSC498W,0
140,CMSC498X,0
141,CMSC498Y,0
142,CMSC498Z,22
143,CMSC499,0
144,CMSC499A,0
145,CMSC614,0
146,CMSC624,23
147,CMSC630,0
148,CMSC631,31
149,CMSC634,0
150,CMSC641,0
151,CMSC642,0
152,CMSC643,0
153,CMSC644,0
154,CMSC651,0
155,CMSC652,0
156,CMSC657,40
157,CMSC660,0
158,CMSC661,0
159,CMSC662,0
160,CMSC663,0
161,CMSC664,0
162,CMSC666,0
163,CMSC667,0
164,CMSC673,0
165,CMSC701,0
166,CMSC702,0
167,CMSC703,0
168,CMSC711,0
169,CMSC712,0
170,CMSC714,0
171,CMSC715,24
172,CMSC722,0
173,CMSC723,0
174,CMSC724,0
175,CMSC725,0
176,CMSC726,0
177,CMSC727,0
178,CMSC730,40
179,CMSC732,26
180,CMSC733,0
181,CMSC734,26
182,CMSC737,0
183,CMSC740,0
184,CMSC742,65
185,CMSC751,0
186,CMSC752,0
187,CMSC754,53
188,CMSC756,36
189,CMSC760,0
190,CMSC763,0
191,CMSC764,0
192,CMSC773,0
193,CMSC798,0
194,CMSC798A,0
195,CMSC798E,0
196,CMSC798F,0
197,CMSC798P,0
198,CMSC799,0
199,CMSC800,0
200,CMSC801,33
201,CMSC818A,0
202,CMSC818B,0
203,CMSC818C,0
204,CMSC818D,0
205,CMSC818E,14
206,CMSC818F,16
207,CMSC818G,0
208,CMSC818I,0
209,CMSC818J,0
210,CMSC818K,0
211,CMSC818L,0
212,CMSC818N,0
213,CMSC818O,0
214,CMSC818P,0
215,CMSC818V,0
216,CMSC818W,0
217,CMSC818X,0
218,CMSC818Y,0
219,CMSC828,0
220,CMSC828A,0
221,CMSC828B,0
222,CMSC828C,0
223,CMSC828D,0
224,CMSC828E,0
225,CMSC828F,0
226,CMSC828G,0
227,CMSC828H,0
228,CMSC828I,57
229,CMSC828J,20
230,CMSC828K,0
231,CMSC828L,0
232,CMSC828M,0
233,CMSC828N,0
234,CMSC828O,0
235,CMSC828P,0
236,CMSC828Q,0
237,CMSC828R,0
238,CMSC828T,0
239,CMSC828U,0
240,CMSC828V,0
241,CMSC828W,61
242,CMSC828X,0
243,CMSC828Y,0
244,CMSC828Z,25
245,CMSC829A,21
246,CMSC838,0
247,CMSC838A,0
248,CMSC838B,0
249,CMSC838E,0
250,CMSC838F,0
251,CMSC838G,11
252,CMSC838J,0
253,CMSC838L,0
254,CMSC838M,0
255,CMSC838X,0
256,CMSC848B,21
257,CMSC848Q,0
258,CMSC858A,0
259,CMSC858B,0
260,CMSC858C,0
261,CMSC858D,0
262,CMSC858E,0
263,CMSC858F,0
264,CMSC858G,28
265,CMSC858K,0
266,CMSC858L,0
267,CMSC858M,0
268,CMSC858O,12
269,CMSC858Q,0
270,CMSC858R,0
271,CMSC858T,0
272,CMSC858X,0
273,CMSC858Z,0
274,CMSC878,0
275,CMSC878A,0
276,CMSC878B,0
277,CMSC878O,0
278,CMSC898,90
279,CMSC899,10
