course_name,professor,count
CMSC100,Corie Brown,17
CMSC100,Jessica Long,33
CMSC100,Veronica Sanchez,19
CMSC106,Jandelyn Plane,51
CMSC122,Jennifer Manly,61
CMSC122,Pedram Sadeghian,83
CMSC125,Elias Gonzalez,23
CMSC131,Fawzi Emad,441
CMSC131,Nelson Padua-Perez,598
CMSC132,Larry Herman,343
CMSC132,Pedram Sadeghian,96
CMSC133,Nelson Padua-Perez,16
CMSC216,Jose Calderon,595
CMSC250,Cliff Bakalian,355
CMSC250,Justin Wyss-Gallifent,294
CMSC320,John Dickerson,301
CMSC320,Mohammad Nayeem Teli,71
CMSC330,Anwar Mamat,215
CMSC330,Roger Eastman,291
CMSC351,Clyde Kruskal,336
CMSC351,Mohammad Nayeem Teli,144
CMSC388J,Michael Marsh,59
CMSC388U,Dave Levin,30
CMSC388Y,Michael Hicks,26
CMSC388Z,Michael Hicks,43
CMSC389E,Roger Eastman,29
CMSC389G,Garrett Vanhoy,14
CMSC389N,Ilchul Yoon,96
CMSC389O,Thomas Goldstein,145
CMSC389T,Anwar Mamat,36
CMSC396H,Dave Levin,90
CMSC411,Ilchul Yoon,86
CMSC411,Michelle Hugue,110
CMSC412,Ashok Agrawala,76
CMSC414,Dave Levin,192
CMSC414,Michael Marsh,144
CMSC416,Abhinav Bhatele,83
CMSC417,Samrat Bhattacharjee,76
CMSC420,Aravind Srinivasan,154
CMSC420,Hanan Samet,43
CMSC420,Michael Marsh,158
CMSC421,James Reggia,96
CMSC421,Marine Carpuat,147
CMSC422,David Jacobs,146
CMSC422,Ramani Duraiswami,130
CMSC423,Robert Patro,94
CMSC424,Amol Deshpande,215
CMSC425,Stevens Miller,80
CMSC426,John Aloimonos,115
CMSC427,Matthias Zwicker,54
CMSC430,David Van Horn,90
CMSC433,Anwar Mamat,211
CMSC434,Evan Golub,110
CMSC435,James Purtilo,41
CMSC436,Peter Keleher,151
CMSC451,Jonathan Katz,154
CMSC470,Jordan Boyd-Graber,49
CMSC473,Thomas Goldstein,21
CMSC474,Dana Nau,14
CMSC498Z,Ming Lin,22
CMSC624,Daniel Abadi,23
CMSC631,Michael Hicks,31
CMSC657,Daniel Gottesman,40
CMSC715,Nirupam Roy,24
CMSC730,Huaishu Peng,40
CMSC732,Michelle Mazurek,26
CMSC734,Zhicheng Liu,26
CMSC742,Furong Huang,65
CMSC754,David Mount,53
CMSC756,Dinesh Manocha,36
CMSC801,Ramani Duraiswami,33
CMSC818E,Peter Keleher,14
CMSC818F,Ian Miers,16
CMSC828I,Abhinav Shrivastava,57
CMSC828J,Rachel Rudinger,20
CMSC828W,Soheil Feizi,61
CMSC828Z,Hal Daume,25
CMSC829A,Erin Molloy,21
CMSC838G,Leonidas Lampropoulos,11
CMSC848B,Christopher Metzler,21
CMSC858G,Michael Gullans,28
CMSC858O,Xiaodi Wu,12
