,course_code,course_type,course_enrollment,course_capacity,course_time,course_instructors
0,EECS 183,Lecture,220,245,TuTh8:30AM-10:00AM,"['Tabassum, Nuzhat', 'Torralva, Ben']"
1,EECS 183,Lecture,189,192,TuTh11:30AM-1:00PM,"['Kloosterman, John Sidney', 'Tabassum, Nuzhat']"
2,EECS 183,Lecture,250,250,TuTh1:00PM-2:30PM,"['Arthur, William', 'Tabassum, Nuzhat']"
3,EECS 183,Lecture,224,225,TuTh2:30PM-4:00PM,"['Kloosterman, John Sidney', 'Tabassum, Nuzhat']"
4,EECS 183,Lecture,257,260,TuTh4:00PM-5:30PM,"['Arthur, William', 'Tabassum, Nuzhat']"
5,EECS 198,Lecture,9,50,Fr9:30AM-11:30AM,"['Ignat, Oana']"
6,EECS 200,Lecture,70,80,Tu3:00PM-4:30PM,"['Ali, Maha A', 'Pierce, Leland E']"
7,EECS 201,Lecture,222,234,Fr10:30AM-12:00PM,"['Bhattu, Sowgandhi', 'Nguyen, Brandon Trinh', ""O'Neill, John Paul""]"
8,EECS 203,Lecture,175,185,TuTh9:00AM-10:30AM,"['Chiang, Diane', 'Diaz, Kimberly Khalsa']"
9,EECS 203,Lecture,154,155,TuTh10:30AM-12:00PM,"['Chiang, Diane', 'Diaz, Kimberly Khalsa']"
10,EECS 203,Lecture,146,145,TuTh8:30AM-10:00AM,"['Chiang, Diane', 'Zhu, Leqi']"
11,EECS 203,Lecture,144,145,TuTh3:00PM-4:30PM,"['Chiang, Diane', 'Graetz, Emily']"
12,EECS 203,Lecture,163,165,TuTh4:30PM-6:00PM,"['Chiang, Diane', 'Graetz, Emily']"
13,EECS 203,Lecture,147,165,TuTh4:00PM-5:30PM,"['Chiang, Diane', 'Wakefield, Gregory H']"
14,EECS 203,Lecture,0,0,TBATBA,"['Diaz, Kimberly Khalsa', 'Graetz, Emily', 'Wakefield, Gregory H']"
15,EECS 215,Lecture,110,110,MoWe9:00AM-10:30AM,"['Terry Jr, Fred Lewis']"
16,EECS 215,Lecture,129,115,MoWe12:00PM-1:30PM,"['Terry Jr, Fred Lewis']"
17,EECS 216,Lecture,87,90,TuTh10:30AM-12:00PM,"['Lafortune, Stephane']"
18,EECS 216,Lecture,50,55,TuTh1:30PM-3:00PM,"['Lafortune, Stephane']"
19,EECS 230,Lecture,73,75,TuTh12:00PM-1:30PM,"['Lee, Somin Eunice']"
20,EECS 270,Lecture,151,162,MoWe10:30AM-12:00PM,"['Bolton, Connor', 'Sakallah, Karem A']"
21,EECS 280,Lecture,238,239,MoWe9:00AM-10:30AM,"['Juett, James']"
22,EECS 280,Lecture,139,139,MoWe12:00PM-1:30PM,"['Juett, James']"
23,EECS 280,Lecture,208,210,MoWe1:30PM-3:00PM,"['Beaumont, Jonathan']"
24,EECS 280,Lecture,150,156,MoWe4:30PM-6:00PM,"['Saleem, Sofia']"
25,EECS 280,Lecture,186,190,MoWe4:00PM-5:30PM,"['Beaumont, Jonathan']"
26,EECS 280,Lecture,152,154,TuTh6:00PM-7:30PM,"['Molaei, Somayeh']"
27,EECS 281,Lecture,156,156,TuTh9:00AM-10:30AM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Darden, Marcus M', 'Li, Annie']"
28,EECS 281,Lecture,231,234,TuTh10:30AM-12:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Darden, Marcus M', 'Li, Annie']"
29,EECS 281,Lecture,145,145,TuTh12:00PM-1:30PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Li, Annie', 'Paoletti, David R']"
30,EECS 281,Lecture,146,145,TuTh1:30PM-3:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Li, Annie', 'Paoletti, David R']"
31,EECS 281,Lecture,157,156,TuTh3:00PM-4:30PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Derezinski, Michal', 'Li, Annie']"
32,EECS 281,Lecture,136,154,TuTh4:30PM-6:00PM,"['Anason, Nicholas David', 'Coden, Megan Lynne', 'Cruz, Surya', 'Garcia-Ramirez, Hector', 'Li, Annie']"
33,EECS 285,Lecture,137,154,We1:30PM-3:30PM,"['Ganesh, Rithika', 'Smith, Kristopher Jorge', 'Wang, William Jialian']"
34,EECS 285,Lecture,1,0,We1:00AM-3:00AM,"['Ganesh, Rithika', 'Smith, Kristopher Jorge', 'Wang, William Jialian']"
35,EECS 300,Lecture,44,48,Th3:00PM-5:00PM,"['Ali, Maha A', 'Gilchrist, Brian E']"
36,EECS 301,Lecture,74,76,MoWe9:00AM-10:30AM,"['Meerkov, Semyon M']"
37,EECS 311,Lecture,20,36,TuTh9:00AM-10:30AM,"['Flynn, Michael']"
38,EECS 312,Lecture,37,45,MoWe1:30PM-3:00PM,"['Garmire, David']"
39,EECS 314,Lecture,155,162,MoWe3:00PM-4:30PM,"['Ganago, Alexander O']"
40,EECS 320,Lecture,49,65,MoWe10:30AM-12:00PM,"['Mi, Zetian']"
41,EECS 330,Lecture,13,30,TuTh12:00PM-1:30PM,"['Tsang, Leung']"
42,EECS 334,Lecture,19,26,WeFr10:00AM-11:30AM,"['Deotare, Parag B']"
43,EECS 351,Lecture,44,60,MoWe12:00PM-1:30PM,"['Na, Sangsin']"
44,EECS 370,Lecture,151,154,TuTh9:00AM-10:30AM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']"
45,EECS 370,Lecture,150,150,TuTh12:00PM-1:30PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']"
46,EECS 370,Lecture,154,158,TuTh1:30PM-3:00PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']"
47,EECS 370,Lecture,177,222,TuTh3:00PM-4:30PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']"
48,EECS 370,Lecture,147,156,TuTh4:30PM-6:00PM,"['Bailey, Jonathan', 'Haye, K Faryab', 'Hong, Jack', 'Liu, Daniel', 'Mudge, Trevor N', 'Narayanasamy, Satish', 'Tang, Lingjia', 'Yang, Yichen', 'Zamirai, Pedram']"
49,EECS 373,Lecture,58,60,MoWe1:30PM-3:00PM,"['Dreslinski Jr, Ronald']"
50,EECS 376,Lecture,124,125,MoWe10:30AM-12:00PM,"['Lee, Euiwoong']"
