,class_title,class_code,link,class_size
0,Programming I,COMP SCI 200,https://madgrades.com/courses/3795cfcc-807e-3ca7-8348-d4a909a42f06?termCode=1222&instructorId=0,794
1,Introduction to Computation,COMP SCI 202,https://madgrades.com/courses/83ec4d57-c9e8-3fb6-b636-2479f9f17ab0?termCode=1222&instructorId=0,0
2,Data Programming I,COMP SCI 220,https://madgrades.com/courses/7ea3c96f-5246-39ac-9c22-eff420630de2?termCode=1222&instructorId=0,791
3,Introduction to Discrete Mathematics,COMP SCI/MATH 240,https://madgrades.com/courses/60bf2c49-51e0-3f19-b9a5-04c55dbd3a7c?termCode=1222&instructorId=0,495
4,Digital Society: The Impact of Computers and Computer Technology,COMP SCI 250,https://madgrades.com/courses/238a957e-5231-3ac6-8abc-22708a3a13c6?termCode=1222&instructorId=0,0
5,Introduction to Computer Engineering,COMP SCI/E C E 252,https://madgrades.com/courses/cac576c6-784e-3f56-8a53-6000c77c9a70?termCode=1222&instructorId=0,569
6,Fundamentals of Human-Computer Interaction,COMP SCI 270,https://madgrades.com/courses/559df7a1-ad86-3a2f-8801-bd95d0a4a76b?termCode=1222&instructorId=0,0
7,Directed Study in Computer Science,COMP SCI 298,https://madgrades.com/courses/79e685c1-3e0c-3c21-b74c-a47791a20955?termCode=1222&instructorId=0,0
8,Programming II,COMP SCI 300,https://madgrades.com/courses/07eabcce-fdab-3781-99ca-7dc2dc3544ae?termCode=1222&instructorId=0,652
9,Introduction to Data Programming,COMP SCI 301,https://madgrades.com/courses/613fbdc2-d4e9-3ac0-ae9b-af126ae97119?termCode=1222&instructorId=0,0
10,Introduction to Programming,COMP SCI 302,https://madgrades.com/courses/28a2d3c7-60de-3cf1-80ff-e989f4d88350?termCode=1222&instructorId=0,0
11,WES-CS Group Meeting,COMP SCI 304,https://madgrades.com/courses/77ceb2a3-3cf6-380e-9917-83f9ab5d17f9?termCode=1222&instructorId=0,91
12,Problem Solving Using Computers,COMP SCI 310,https://madgrades.com/courses/723bb90e-7865-35bf-b4f4-7f2978dbd413?termCode=1222&instructorId=0,0
13,Data Programming I - Research,COMP SCI 319,https://madgrades.com/courses/b86c750f-7c01-3feb-b854-b921a7dd05ae?termCode=1222&instructorId=0,22
14,Data Sci Programming II,COMP SCI 320,https://madgrades.com/courses/b2107f35-bc8a-3ce0-b17e-4270f762d07b?termCode=1222&instructorId=0,319
15,Digital System Fundamentals,COMP SCI/E C E 352,https://madgrades.com/courses/73e639b4-409e-3bcd-9211-51eafa19a1b1?termCode=1222&instructorId=0,145
16,Machine Organization and Programming,COMP SCI/E C E 354,https://madgrades.com/courses/cb48129f-99e6-36fa-9a20-46e0617e2499?termCode=1222&instructorId=0,442
17,Introduction to Data Structures,COMP SCI 367,https://madgrades.com/courses/892c1608-d603-3e23-80b9-5db404724b39?termCode=1222&instructorId=0,0
18,Learning a Programming Language,COMP SCI 368,https://madgrades.com/courses/bed9386b-f25b-39d1-b648-73e9641ac615?termCode=1222&instructorId=0,0
19,Web Programming,COMP SCI 369,https://madgrades.com/courses/72c2c828-a6e4-3222-9341-d0376f438594?termCode=1222&instructorId=0,0
20,Technology of Computer-Based Business Systems,INFO SYS/COMP SCI 371,https://madgrades.com/courses/1a135438-d000-3b8a-af9a-35d41ce16f23?termCode=1222&instructorId=0,34
21,Programming III,COMP SCI 400,https://madgrades.com/courses/e449f054-a344-3556-b18a-5333e51ceb82?termCode=1222&instructorId=0,627
22,Introducing Computer Science to K-12 Students,COMP SCI 402,https://madgrades.com/courses/1b2e921d-bfc8-3908-9fa4-e682948ae8d2?termCode=1222&instructorId=0,25
23,Internship Class CS & Data Sci,COMP SCI/STAT 403,https://madgrades.com/courses/484ff62c-e31d-3f79-93ce-4b9bb16cb8e2?termCode=1222&instructorId=0,19
24,Foundations of Mobile Systems and Applications,COMP SCI 407,https://madgrades.com/courses/3b14a2ff-b999-338f-b2a8-65b95ce52923?termCode=1222&instructorId=0,196
25,Introduction to Numerical Methods,COMP SCI 412,https://madgrades.com/courses/14d37fdc-b58d-30df-af83-a32e1779c8d6?termCode=1222&instructorId=0,53
26,Foundations-Scientifc Computng,COMP SCI 416,https://madgrades.com/courses/36ff3bec-2c78-38e4-9458-3094ebc93820?termCode=1222&instructorId=0,0
27,Introduction to Combinatorial Optimization,COMP SCI/I SY E/MATH 425,https://madgrades.com/courses/71246124-5a8d-3ea5-bf13-69b9ca633e7c?termCode=1222&instructorId=0,56
28,Introduction to Cryptography,COMP SCI/E C E/MATH 435,https://madgrades.com/courses/c383953c-7c14-3614-b84e-107441ba5002?termCode=1222&instructorId=0,143
29,Introduction to Computational Statistics,COMP SCI/STAT 471,https://madgrades.com/courses/5e4fc331-6b9f-3607-8410-7d1e399c57eb?termCode=1222&instructorId=0,0
30,Introduction to Combinatorics,COMP SCI/MATH/STAT 475,https://madgrades.com/courses/4d059bd9-4520-3a4d-9174-e3ad726d085e?termCode=1222&instructorId=0,79
31,CS Education,COMP SCI/CURRIC 502,https://madgrades.com/courses/0fcb3891-218b-382d-83fa-2c6175e85bb9?termCode=1222&instructorId=0,16
32,Software Engineering,COMP SCI/E C E 506,https://madgrades.com/courses/88e440eb-1e19-3b5f-b7a7-bf29b505e9c3?termCode=1222&instructorId=0,131
33,Numerical Linear Algebra,COMP SCI/MATH 513,https://madgrades.com/courses/1405c0d1-cb20-3e32-af67-bc7ff9ff2fdb?termCode=1222&instructorId=0,0
34,Numerical Analysis,COMP SCI/MATH 514,https://madgrades.com/courses/2d69544c-2270-33fa-bee5-fbd76b1e2df0?termCode=1222&instructorId=0,48
35,Intro to Splines and Wavelets,COMP SCI/MATH 515,https://madgrades.com/courses/e52576af-ff77-3c3f-94be-77e51165c2c7?termCode=1222&instructorId=0,0
36,Wearable Technology,COMP SCI/DS/I SY E 518,https://madgrades.com/courses/31542425-4016-37d0-bcf5-1b85cfced299?termCode=1222&instructorId=0,30
37,Introduction to Theory of Computing,COMP SCI 520,https://madgrades.com/courses/bab85c5a-9388-34d2-9838-74ac8b03fe3e?termCode=1222&instructorId=0,0
38,Introduction to Optimization,COMP SCI/E C E/I SY E 524,https://madgrades.com/courses/e812e694-8224-30ee-b50c-eb515361b85b?termCode=1222&instructorId=0,48
39,Linear Programming Methods,COMP SCI/I SY E/MATH/STAT 525,https://madgrades.com/courses/4c05436f-19b3-3f06-b99a-c28d268997f5?termCode=1222&instructorId=0,62
40,Advanced Linear Programming,COMP SCI/I SY E 526,https://madgrades.com/courses/c29cf126-9227-37ac-9656-213f0468eb66?termCode=1222&instructorId=0,0
41,Theory and Applications of Pattern Recognition,COMP SCI/E C E/M E 532,https://madgrades.com/courses/d22643fc-796e-39f7-b078-2d62de0cf51d?termCode=1222&instructorId=0,171
42,Image Processing,COMP SCI/E C E 533,https://madgrades.com/courses/370be059-d2ff-365f-88ff-0d0663fc972c?termCode=1222&instructorId=0,41
43,Computational Photography,COMP SCI 534,https://madgrades.com/courses/6b1cc747-dd2c-3a0c-a0d8-801cf6343ba8?termCode=1222&instructorId=0,0
44,Introduction to Programming Languages and Compilers,COMP SCI 536,https://madgrades.com/courses/ecff4693-50ce-3960-91fe-374a8db40534?termCode=1222&instructorId=0,71
45,Introduction to Operating Systems,COMP SCI 537,https://madgrades.com/courses/e9a360bc-be2d-35d1-9684-a464bbbd0c15?termCode=1222&instructorId=0,318
46,Introduction to the Theory and Design of Programming Languages,COMP SCI 538,https://madgrades.com/courses/1cc4bd2d-e63c-3842-ba83-ef872ca8ced2?termCode=1222&instructorId=0,0
47,Introduction to Artificial Neural Network and Fuzzy Systems,COMP SCI/E C E/M E 539,https://madgrades.com/courses/d400bbfd-2b11-3025-b923-4bf1796a9d12?termCode=1222&instructorId=0,72
48,Introduction to Artificial Intelligence,COMP SCI 540,https://madgrades.com/courses/de8a0a8c-e076-3ec2-8b6c-e1e1ee82a53e?termCode=1222&instructorId=0,351
49,Natural Language and Computing,COMP SCI 545,https://madgrades.com/courses/bd340531-7035-3a96-b42b-a3c1257ee2f4?termCode=1222&instructorId=0,0
50,Comp Systms Mdlng Fundmntls,COMP SCI 547,https://madgrades.com/courses/a23f5958-b94b-3ec3-a75b-0699044dc54d?termCode=1222&instructorId=0,0
51,Introduction to Computer Architecture,COMP SCI/E C E 552,https://madgrades.com/courses/d5fe8d3d-c558-3d58-a82f-7956ed122240?termCode=1222&instructorId=0,105
52,Introduction to Computational Geometry,COMP SCI/I SY E/M E 558,https://madgrades.com/courses/c5534abb-b224-3b64-b300-fe29beb62a90?termCode=1222&instructorId=0,0
53,Computer Graphics,COMP SCI 559,https://madgrades.com/courses/323b9c99-a1d7-37d7-a524-7ad3d318b85d?termCode=1222&instructorId=0,172
54,Introduction to Charged Particle Accelerators,COMP SCI/E C E/N E/PHYSICS 561,https://madgrades.com/courses/41017cd0-0e3a-3ea7-85e3-8581a8c5e68b?termCode=1222&instructorId=0,62
55,Database Management Systems: Design and Implementation,COMP SCI 564,https://madgrades.com/courses/0792eac4-46ac-3e08-8cd0-858349ff66d1?termCode=1222&instructorId=0,193
56,Medical Image Analysis,B M I/COMP SCI 567,https://madgrades.com/courses/11779294-623b-3674-ae2d-ebaf7ae41b85?termCode=1222&instructorId=0,7
57,Introduction to Human-Computer Interaction,COMP SCI 570,https://madgrades.com/courses/af9d93a2-e492-320d-af8d-9037cdbac6e5?termCode=1222&instructorId=0,185
58,Building User Interfaces,COMP SCI 571,https://madgrades.com/courses/4f015d27-ae09-35bb-833d-4d609e155e00?termCode=1222&instructorId=0,119
59,Introduction to Bioinformatics,B M I/COMP SCI 576,https://madgrades.com/courses/25d77d6d-d02c-3458-87d9-2112dd345818?termCode=1222&instructorId=0,90
60,Introduction to Algorithms,COMP SCI 577,https://madgrades.com/courses/1f36cc02-0eee-3fcf-be09-1ad17aecf83c?termCode=1222&instructorId=0,386
61,Contest-Level Programming,COMP SCI 578,https://madgrades.com/courses/f730dbf3-ad3b-3b1c-be9f-af1a108772a6?termCode=1222&instructorId=0,0
62,Virtual Reality,COMP SCI/DS 579,https://madgrades.com/courses/a51faa36-2b78-3b74-9763-518c5160eaef?termCode=1222&instructorId=0,0
63,User Experience Design 1,COMP SCI/L I S 611,https://madgrades.com/courses/b70d103d-12cb-3147-99d3-3ed23dd5a965?termCode=1222&instructorId=0,29
64,User Experience Design 2,COMP SCI/L I S 612,https://madgrades.com/courses/84ecfbbe-1b85-3480-832e-7f70f7bf8039?termCode=1222&instructorId=0,0
65,Tools and Environments for Optimization,COMP SCI/I SY E 635,https://madgrades.com/courses/5f9f7a58-f0b4-32ab-9d37-31708aa7cfc2?termCode=1222&instructorId=0,0
66,Undergraduate Topics in Computing,COMP SCI 638,https://madgrades.com/courses/c38a55d7-2110-375c-9852-b8a3f0b3368a?termCode=1222&instructorId=0,82
67,Undergraduate Elective Topics in Computing,COMP SCI 639,https://madgrades.com/courses/90d9a30d-6330-33f8-9aee-fe82055a4653?termCode=1222&instructorId=0,101
68,Introduction to Computer Networks,COMP SCI 640,https://madgrades.com/courses/f87b3a9c-34da-3fbf-8621-2a513cb3e4d1?termCode=1222&instructorId=0,82
69,Introduction to Information Security,COMP SCI 642,https://madgrades.com/courses/12493d6b-fd31-3bd6-9271-8e2187596d37?termCode=1222&instructorId=0,53
70,Computer Game Technology,COMP SCI 679,https://madgrades.com/courses/1bb08319-3872-37e1-a61f-a2eadc551b5a?termCode=1222&instructorId=0,0
71,Senior Honors Thesis,COMP SCI 681,https://madgrades.com/courses/32fdc8e0-37fa-31a9-b6ec-635c36251dbc?termCode=1222&instructorId=0,0
72,Senior Honors Thesis,COMP SCI 682,https://madgrades.com/courses/08d6b067-e6bf-3a4f-b238-b395d51c666b?termCode=1222&instructorId=0,0
73,Senior Thesis,COMP SCI 691,https://madgrades.com/courses/47031232-cf69-3ef5-87a3-6c2100e07ec1?termCode=1222&instructorId=0,0
74,Senior Thesis,COMP SCI 692,https://madgrades.com/courses/f044eaa2-083b-34f5-ae55-f5678cd2ccde?termCode=1222&instructorId=0,0
75,Directed Study,COMP SCI 699,https://madgrades.com/courses/5e4b724b-1a49-3240-ba21-4e8b974a3ec1?termCode=1222&instructorId=0,0
76,Construction of Compilers,COMP SCI 701,https://madgrades.com/courses/5a238b34-fc77-3449-8c0c-21b757a8c720?termCode=1222&instructorId=0,0
77,Graduate Cooperative Education,COMP SCI 702,https://madgrades.com/courses/85cf9ab9-d432-3086-8aa1-32b9282caf40?termCode=1222&instructorId=0,0
78,Advanced Topics in Programming Languages and Compilers,COMP SCI 703,https://madgrades.com/courses/3e23efe6-72a4-3cc2-ac1f-10ac7a79aa03?termCode=1222&instructorId=0,0
79,Principles of Programming Languages,COMP SCI 704,https://madgrades.com/courses/a0e4e825-d7b8-3c5c-bc2b-3118db7cd6ba?termCode=1222&instructorId=0,0
80,Analysis of Software Artifacts,COMP SCI 706,https://madgrades.com/courses/b21d0cc4-9657-33d2-8fe8-8fa10180e591?termCode=1222&instructorId=0,0
81,Mobile and Wireless Networking,COMP SCI/E C E 707,https://madgrades.com/courses/30c601ef-a036-3a15-8081-222af4e287e0?termCode=1222&instructorId=0,12
82,Computational Complexity,COMP SCI 710,https://madgrades.com/courses/d2e8dd66-d876-3db6-a412-4998917d9dd8?termCode=1222&instructorId=0,0
83,Finite Difference Methods,COMP SCI/MATH 712,https://madgrades.com/courses/c83d70bb-270e-31b9-81b1-351ee96adb7a?termCode=1222&instructorId=0,0
84,Methods of Computational Mathematics I,COMP SCI/MATH 714,https://madgrades.com/courses/7f74f41f-f676-31d2-91ac-0b3d3bcc2f1c?termCode=1222&instructorId=0,28
85,Methods of Computational Mathematics II,COMP SCI/MATH 715,https://madgrades.com/courses/264a3613-f476-3f6d-9d2b-dea1e1aec081?termCode=1222&instructorId=0,0
86,Stochastic Programming,COMP SCI/I SY E 719,https://madgrades.com/courses/f4da3aed-ca1d-3dca-9560-c5d037510176?termCode=1222&instructorId=0,0
87,Integer Programming,COMP SCI/I SY E 720,https://madgrades.com/courses/6dea5449-8e8d-3224-afe8-a59e25ca5ab7?termCode=1222&instructorId=0,0
88,Dynamic Programming and Associated Topics,COMP SCI/I SY E 723,https://madgrades.com/courses/c36c8d01-d51e-3757-a8c7-6c7548f08412?termCode=1222&instructorId=0,18
89,Nonlinear Optimization I,COMP SCI/I SY E/MATH/STAT 726,https://madgrades.com/courses/a99470fb-87a9-33ab-9076-a15d5e3c4788?termCode=1222&instructorId=0,0
90,Convex Analysis,COMP SCI/I SY E 727,https://madgrades.com/courses/2200a497-431d-3df3-92dc-b3436607a8c6?termCode=1222&instructorId=0,0
91,Integer Optimization,COMP SCI/I SY E/MATH 728,https://madgrades.com/courses/d11506f9-295a-3576-b380-b4e4f13dfc0c?termCode=1222&instructorId=0,0
92,Nonlinear Optimization II,COMP SCI/I SY E/MATH 730,https://madgrades.com/courses/e5f09a86-bba2-33e8-bf07-ca7590869fd2?termCode=1222&instructorId=0,0
93,Adv Artificial Intelligence,COMP SCI 731,https://madgrades.com/courses/8e40e67e-ad95-3b53-abca-86bbc041cc44?termCode=1222&instructorId=0,0
94,Comput Meths-Lg Sparse Sys,COMP SCI 733,https://madgrades.com/courses/916e3210-dbd4-34a8-936b-e27c1c7fa8bb?termCode=1222&instructorId=0,0
95,Advanced Operating Systems,COMP SCI 736,https://madgrades.com/courses/c7bba36e-e97e-367f-b4ef-1dbb225190b2?termCode=1222&instructorId=0,16
96,Computer System Performance,COMP SCI 737,https://madgrades.com/courses/6a0c576b-e026-3fe7-b5e8-8a9fd9832a7b?termCode=1222&instructorId=0,0
97,Distributed Systems,COMP SCI 739,https://madgrades.com/courses/cd8c7c9d-bf75-3577-860c-3b7eec5aa973?termCode=1222&instructorId=0,0
98,Advanced Computer Networks,COMP SCI 740,https://madgrades.com/courses/1d9e4abc-13f1-33a2-a266-06bd17a93da9?termCode=1222&instructorId=0,0
99,Big Data Systems,COMP SCI 744,https://madgrades.com/courses/54750cd9-011d-3d37-988d-27f7ef1152cb?termCode=1222&instructorId=0,70
100,Adv Cmputr Sys Anal Techniq,COMP SCI 747,https://madgrades.com/courses/c737c6d7-dc33-3e83-8837-2a135e180a68?termCode=1222&instructorId=0,0
101,Real-time Computing Systems,COMP SCI/E C E 750,https://madgrades.com/courses/d22baad8-ed20-3a94-ad38-626008aaadf7?termCode=1222&instructorId=0,17
102,Advanced Computer Architecture I,COMP SCI/E C E 752,https://madgrades.com/courses/27eca61b-eaa4-3b5b-81cc-b6160d77c61f?termCode=1222&instructorId=0,26
103,VLSI Systems Design,COMP SCI/E C E 755,https://madgrades.com/courses/26a0ee2a-514e-3ebd-8dce-7b6796f0b925?termCode=1222&instructorId=0,0
104,Computer-Aided Design for VLSI,COMP SCI/E C E 756,https://madgrades.com/courses/f52d5d0e-a781-3eb1-8c6f-f75fdb4e8e41?termCode=1222&instructorId=0,8
105,Advanced Computer Architecture II,COMP SCI/E C E 757,https://madgrades.com/courses/89f373e7-70f3-341c-82c8-d8937a9fd5d4?termCode=1222&instructorId=0,0
106,Advanced Topics in Computer Architecture,COMP SCI 758,https://madgrades.com/courses/1d591c52-eaa2-3cd5-a983-fd96b957e27d?termCode=1222&instructorId=0,0
107,High Performance Computing for Applications in Engineering,COMP SCI/E C E/E M A/E P/M E 759,https://madgrades.com/courses/3b838d97-977e-3e8f-b80b-a07085e8b244?termCode=1222&instructorId=0,0
108,Machine Learning,COMP SCI 760,https://madgrades.com/courses/e6d6df0e-1456-36bb-81bc-5648cf0f224d?termCode=1222&instructorId=0,98
109,Mathematical Foundations of Machine Learning,COMP SCI/E C E 761,https://madgrades.com/courses/eeeb65c9-2cde-3848-b416-839e36d0e458?termCode=1222&instructorId=0,0
110,Advanced Deep Learning,COMP SCI 762,https://madgrades.com/courses/82c5b13f-d167-3820-a856-987ff152f599?termCode=1222&instructorId=0,36
111,Security Privacy for Data Sci,COMP SCI 763,https://madgrades.com/courses/23674715-47cd-373d-aa64-3718c2023fc4?termCode=1222&instructorId=0,0
112,Topics in Database Management Systems,COMP SCI 764,https://madgrades.com/courses/c2f623b0-3ac4-3604-9fe7-1cb9cb93e2e2?termCode=1222&instructorId=0,37
